GeoFips,GeoName,2017,2018,2019
13047,"Catoosa, GA",1303059,1325094,1369792
13049,"Charlton, GA",183147,173760,188145
13051,"Chatham, GA",16428911,16437050,16972627
13053,"Chattahoochee, GA",1518856,1448459,1461834
13055,"Chattooga, GA",570075,556996,521470
13057,"Cherokee, GA",6823417,6945639,7328211
13059,"Clarke, GA",6896415,7020361,6953967
13061,"Clay, GA",73804,76373,83827
13063,"Clayton, GA",16332087,16906216,17042400
13065,"Clinch, GA",231163,217221,227836
13067,"Cobb, GA",47659687,49147970,50373128
13069,"Coffee, GA",1364712,1372368,1417286
13071,"Colquitt, GA",1267188,1309815,1332075
13073,"Columbia, GA",3521769,3705448,3761838
13075,"Cook, GA",320645,338481,340272
13077,"Coweta, GA",3977627,4141214,4439799
13079,"Crawford, GA",156335,155410,145580
13081,"Crisp, GA",757745,751452,808578
13083,"Dade, GA",344383,368728,381863
13085,"Dawson, GA",775582,788216,819918
13087,"Decatur, GA",716644,712310,734452
13089,"DeKalb, GA",35904535,37234455,37502746
13091,"Dodge, GA",400074,374436,400451
13093,"Dooly, GA",382896,367046,383901
13095,"Dougherty, GA",3983044,3985846,4053082
13097,"Douglas, GA",4007390,4152162,4299267
13099,"Early, GA",447554,437427,434379
13101,"Echols, GA",50558,37242,39643
13103,"Effingham, GA",1719764,1759227,1737909
13105,"Elbert, GA",577096,577992,567768
13107,"Emanuel, GA",636768,582886,616873
13109,"Evans, GA",354509,356208,342318
13111,"Fannin, GA",640151,672790,686539
13113,"Fayette, GA",4450291,4665254,4840047
13115,"Floyd, GA",3760011,3720155,3676108
13117,"Forsyth, GA",9155547,9116770,9491142
13119,"Franklin, GA",884049,914117,858799
13121,"Fulton, GA",150557257,158070326,168439892
13123,"Gilmer, GA",835315,856032,832482
13125,"Glascock, GA",31381,28950,30275
13127,"Glynn, GA",3531868,3618902,3559558
13129,"Gordon, GA",2105470,2090919,2165968
13131,"Grady, GA",574507,582630,585465
13133,"Greene, GA",633018,681720,684403
13135,"Gwinnett, GA",43777498,44581618,45850475
13137,"Habersham, GA",1341758,1393852,1381218
13139,"Hall, GA",9351889,9773913,10114487
13141,"Hancock, GA",144568,143603,144556
13143,"Haralson, GA",725837,740496,746267
13145,"Harris, GA",474706,489151,492674
13147,"Hart, GA",769585,846654,823944
13149,"Heard, GA",1259030,1074705,1142905
13151,"Henry, GA",5535416,5803664,6229082
13153,"Houston, GA",6078191,6169178,6383219
13155,"Irwin, GA",168307,173238,184395
13157,"Jackson, GA",2743801,2863701,2927747
13159,"Jasper, GA",256052,246357,260282
13161,"Jeff Davis, GA",342707,345778,380305
13163,"Jefferson, GA",498481,462423,503011
13165,"Jenkins, GA",141112,132252,148758
13167,"Johnson, GA",112683,114915,113589
13169,"Jones, GA",417058,381758,410910
13171,"Lamar, GA",374744,363526,377920
13173,"Lanier, GA",115791,111375,113123
13175,"Laurens, GA",1559140,1586728,1589735
13177,"Lee, GA",605862,599415,653586
13179,"Liberty, GA",3248976,3280329,3320174
13181,"Lincoln, GA",115642,112323,114721
13183,"Long, GA",162043,163315,159866
13185,"Lowndes, GA",4364739,4453864,4566913
13187,"Lumpkin, GA",720320,719046,780950
13189,"McDuffie, GA",564685,558823,596053
13191,"McIntosh, GA",235520,234343,229273
13193,"Macon, GA",460231,425572,400970
13195,"Madison, GA",509847,537558,496115
13197,"Marion, GA",105327,104956,101177
13199,"Meriwether, GA",553267,540014,529702
13201,"Miller, GA",163463,176408,184504
13205,"Mitchell, GA",706983,679682,715053
13207,"Monroe, GA",1523380,1567907,1446063
13209,"Montgomery, GA",147312,142414,145873
13211,"Morgan, GA",691322,727667,810863
13213,"Murray, GA",1217820,1142798,1156410
13215,"Muscogee, GA",9283140,9300859,9493232
13217,"Newton, GA",2548160,2647301,2738094
13219,"Oconee, GA",1196281,1279124,1468909
13221,"Oglethorpe, GA",327555,342760,304455
13223,"Paulding, GA",2490476,2615108,2786800
13225,"Peach, GA",790354,794396,828988
13227,"Pickens, GA",918855,933273,935180
13229,"Pierce, GA",376093,362651,369452
13231,"Pike, GA",289374,278465,308537
13233,"Polk, GA",1078852,1078616,1134358
13235,"Pulaski, GA",282643,280810,275877
13237,"Putnam, GA",475511,470259,501792
13239,"Quitman, GA",37051,37776,34348
13241,"Rabun, GA",482491,471876,513912
13243,"Randolph, GA",157739,156885,160868
13245,"Richmond, GA",10984419,10981769,11020630
13247,"Rockdale, GA",3449966,3511568,3501839
13249,"Schley, GA",97659,103443,103602
13251,"Screven, GA",298041,293027,286099
13253,"Seminole, GA",255971,256105,273878
13255,"Spalding, GA",1848686,1845440,1892917
13257,"Stephens, GA",827273,834604,846678
13259,"Stewart, GA",105371,112974,123197
13261,"Sumter, GA",976433,958932,975824
13263,"Talbot, GA",115677,128810,121887
13265,"Taliaferro, GA",28460,28761,30791
13267,"Tattnall, GA",637133,646532,571927
13269,"Taylor, GA",193321,189634,196947
13271,"Telfair, GA",300112,288628,262524
13273,"Terrell, GA",212161,191802,198468
13275,"Thomas, GA",1881321,1912359,1931847
13277,"Tift, GA",1631260,1677764,1727482
13279,"Toombs, GA",871203,866246,855369
13281,"Towns, GA",320840,319053,341877
13283,"Treutlen, GA",96755,91640,91749
13285,"Troup, GA",3153677,3147398,3268726
13287,"Turner, GA",190296,178864,199373
13289,"Twiggs, GA",233895,251226,253458
13291,"Union, GA",681844,680187,699329
13293,"Upson, GA",613872,615655,640543
13295,"Walker, GA",1356260,1341872,1319659
13297,"Walton, GA",2250011,2271977,2399415
13299,"Ware, GA",1303474,1297874,1276616
13301,"Warren, GA",125961,139004,145322
13303,"Washington, GA",555386,543234,559579
13305,"Wayne, GA",758068,767733,910312
13307,"Webster, GA",51453,46445,52402
13309,"Wheeler, GA",95080,95297,92679
13311,"White, GA",772850,760753,806939
13313,"Whitfield, GA",5271919,5270687,5309240
13315,"Wilcox, GA",149724,141284,145360
13317,"Wilkes, GA",333697,342507,306113
13319,"Wilkinson, GA",510066,512090,562317
13321,"Worth, GA",314099,318222,332702
15001,"Hawaii, HI",7675148,7735127,7816495
15003,"Honolulu, HI",59156102,59281819,58428763
15007,"Kauai, HI",3457576,3690943,3711519
15901,"Maui + Kalawao, HI*",8650449,9138090,9207556
16001,"Ada, ID",23216725,25050639,25857055
16003,"Adams, ID",112636,109576,110181
16005,"Bannock, ID",2561371,2558727,2600103
16007,"Bear Lake, ID",166515,163973,169728
16009,"Benewah, ID",289383,292987,303634
16011,"Bingham, ID",1114579,1193044,1295594
16013,"Blaine, ID",1307163,1365173,1380089
16015,"Boise, ID",156498,200154,198825
16017,"Bonner, ID",1280992,1356634,1410850
16019,"Bonneville, ID",4716387,5044105,5635262
16021,"Boundary, ID",318774,322360,344005
16023,"Butte, ID",1025575,1021505,1123308
16025,"Camas, ID",61521,67753,72255
16027,"Canyon, ID",5112571,5573132,5912054
16029,"Caribou, ID",546581,566396,612982
16031,"Cassia, ID",1484541,1617211,1569602
16033,"Clark, ID",55177,48831,46172
16035,"Clearwater, ID",305271,299873,303451
16037,"Custer, ID",175623,185251,180857
16039,"Elmore, ID",1184110,1236707,1228782
16041,"Franklin, ID",330797,342105,352706
16043,"Fremont (includes Yellowstone Park), ID",299698,338804,356712
16045,"Gem, ID",353097,347547,365553
16047,"Gooding, ID",1216628,1257113,1351518
16049,"Idaho, ID",393435,392691,403388
16051,"Jefferson, ID",647799,732713,811428
16053,"Jerome, ID",1166076,1226559,1274950
16055,"Kootenai, ID",5452635,5763071,5844703
16057,"Latah, ID",1164696,1205852,1237817
16059,"Lemhi, ID",221874,236454,240073
16061,"Lewis, ID",135735,141541,144513
16063,"Lincoln, ID",290045,299074,296091
16065,"Madison, ID",1018268,1115842,1169812
16067,"Minidoka, ID",662460,742340,814936
16069,"Nez Perce, ID",1854301,1826869,1914836
16071,"Oneida, ID",128567,131894,121339
16073,"Owyhee, ID",412359,440674,441082
16075,"Payette, ID",737718,726035,774387
16077,"Power, ID",334762,373144,389593
16079,"Shoshone, ID",495367,501587,467959
16081,"Teton, ID",279537,301299,317764
16083,"Twin Falls, ID",3312516,3460717,3497144
16085,"Valley, ID",424440,439037,455056
16087,"Washington, ID",409961,402383,435691
17001,"Adams, IL",3135910,3219069,3173733
17003,"Alexander, IL",151111,147891,156449
17005,"Bond, IL",500923,517962,510704
17007,"Boone, IL",1567478,1783259,1759786
17009,"Brown, IL",422319,443099,457117
17011,"Bureau, IL",1203867,1181267,1201571
